chassistype,ram,os,#ofcores,age_category,graphicscardclass,processornumber,cpucode,persona,guid
Desktop,16,Win10,4,3,Low-Midrange Graphics Cards,14,i5-6500,Communication,8274c58cd4414aa6b4db2a5ed9790b3d
Desktop,32,Win10,4,3,,14,i7-6700,Casual Gamer,03337f63c1204135b48202ff6fb2ae49
Desktop,16,Win10,4,6,High-End Graphics Cards,32,i7-2600K,Casual Gamer,60db23bf824b41079f5d360696fc1498
Notebook,8,Win10,4,3,Low-Midrange Graphics Cards,14,i5-6300HQ,Gamer,ba990a8f61e945f89dc3bf9610334d38
Desktop,4,Win10,2,5,Low-End Graphics Cards,22,i3-4160T,Web User,8085786d931e4d64a08a933d816d0017
Desktop,16,Win10,4,2,Mid-Range Graphics Cards,14,i5-7500,Casual User,3f786df7dcea4806b153b4bdb46e0f7c
Notebook,16,Win10,4,5,Low-End Graphics Cards,22,i7-4710MQ,Web User,484c7889212f4b6a9c3976da2875c450
Desktop,4,Win10,2,6,Low-Midrange Graphics Cards,32,i3-2120,Casual Gamer,acac8f9e0bdf4ad8808e54889c5e4f7a
Notebook,16,Win10,4,3,High-End Graphics Cards,14,i7-6700HQ,Content Creator/IT,d4d4a852fcd342779226f9225b09f56b
Desktop,16,Win10,4,3,High-End Graphics Cards,14,i7-6700K,Web User,49f6fdce1f7341ee98461fbd2dbd286b
Desktop,24,Win10,4,1,Mid-Range Graphics Cards,14,i5-7400,Web User,16a035dde853410f9a4eb73c7a3112d4
Notebook,8,Win10,4,3,Low-Midrange Graphics Cards,14,i7-6700HQ,Web User,1b0446832d3745f5917431b0546e5ac6
Desktop,4,Win10,2,-1,Low-Midrange Graphics Cards,90,i3-540,Casual User,45bfcf4e199b4b76980727140f386844
Desktop,4,Win10,2,4,Low-Midrange Graphics Cards,22,G1840,Casual User,dff0cca8c6aa40a2bb79a04ff809388e
Desktop,16,Win10,4,6,High-End Graphics Cards,22,i7-4770K,Web User,4f458d584fd64c70bf0962a3c942cada
Desktop,8,Win10,2,4,Low-Midrange Graphics Cards,14,i5-6260U,Content Creator/IT,55d0ba03ae8c42d7af40784f462dc7b2
Notebook,8,Win10,2,3,Mid-Range Graphics Cards,14,i5-6200U,Web User,c3da178f8b714f40bb0d60f345a55459
Desktop,8,Win10,4,5,High-End Graphics Cards,22,i5-4690K,Win Store App User,5baf416bd44242d3a05e615b2fe8b7de
Intel NUC/STK,16,Win10,4,1,,14,i7-8559U,Casual User,96dbe5d60d924e958bdd1bf1497cee05
Desktop,32,Win10,6,2,Low-End Graphics Cards,14,i7-8700K,Casual User,a5e6919bd6374f95b4d629ee1e6a9caf
Desktop,16,Win10,2,2,Low-Midrange Graphics Cards,14,i3-7100U,Office/Productivity,cad26b384a5f492da26f432d1057251e
Desktop,8,Win10,4,4,Low-End Graphics Cards,22,i5-4460T,Web User,1a53bd723e854f3fb2a292babb8a3ef5
Desktop,16,Win10,4,5,Low-End Graphics Cards,22,i5-4690T,Web User,27aca7978435469d9c7f23486e772e40
Notebook,16,Win10,6,1,Low-Midrange Graphics Cards,14,i7-8750H,Win Store App User,48db805549b540fdb4d134f465f96063
Notebook,8,Win10,2,3,,14,i5-6300U,Communication,6548da085c5344009c31ea169fcb004c
Desktop,16,Win10,6,0,,14,i5-9400F,Web User,828f2f9abb7e43319063a04232b27151
Notebook,12,Win10,2,4,Mid-Range Graphics Cards,14,i7-6500U,Gamer,5cd22c07892246f2a5224d14e60bcc3c
Notebook,6,Win8.1,2,6,Low-End Graphics Cards,22,i5-3317U,Entertainment,92e99a72ae744a1d9c9f36f53852b650
Desktop,8,Win10,2,4,Low-Midrange Graphics Cards,14,i7-5557U,Content Creator/IT,a3b5e39163ec4030899a2f15cc12d298
2 in 1,8,Win10,2,6,,22,i7-4500U,Office/Productivity,bf1c5974be02467aac48490eadb60633
Notebook,16,Win10,4,6,Mid-Range Graphics Cards,22,i7-4702HQ,Web User,f65ff56479d3476ea62fb4159baaabf9
Notebook,4,Win10,2,5,Office-Class Graphics Cards,22,i3-4005U,Web User,94be9f715c6746e3a822476b2251c3fa
Desktop,24,Win10,4,6,Low-End Graphics Cards,22,i5-4570,Casual User,6876ad8d1166482dac3e421fd734d009
Desktop,16,Win10,4,3,Low-Midrange Graphics Cards,14,i5-6500,Casual User,0d4a1f74e90f4a2e8bcdb1eb3f015db6
Notebook,16,Win10,4,0,Low-Midrange Graphics Cards,14,i5-9300H,Gamer,6155bf8597fd49d1895d23ab155ab3b1
Intel NUC/STK,8,Win10,4,0,,14,i5-8265U,Win Store App User,e16cba08b73e4d9ca25d24aedc1849fd
Notebook,16,Win10,2,2,Low-Midrange Graphics Cards,14,i7-7500U,Web User,7c27efde9b7949d6923328faa28c1f16
Notebook,6,Win10,2,6,Office-Class Graphics Cards,32,i5-540M,Casual Gamer,a4703386dea34f4d84807df856e89786
Notebook,16,Win10,2,3,Low-Midrange Graphics Cards,14,i7-6600U,Casual User,43cd8e9c222043258129e03c4b1ca85f
Desktop,32,Win10,4,5,Low-End Graphics Cards,22,i7-4790K,Office/Productivity,9149325334cc46c686d7e4f14161d17b
Notebook,16,Win10,4,4,Low-End Graphics Cards,22,i7-4720HQ,Entertainment,ad04d35eafd94aebb63f72ce353c1146
Desktop,8,Win10,4,4,Low-End Graphics Cards,22,i5-4460,Casual User,9443a1f0c7474e4ca1170ee744667ef0
Notebook,8,Win10,2,6,Low-End Graphics Cards,22,i5-3210M,Casual User,9c6c67defa27448dbfdfa84b369fb0d0
Notebook,8,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8250U,Casual Gamer,c82a6892dfc4495e8340195ae02242e3
Notebook,4,Win10,2,6,Low-Midrange Graphics Cards,32,i7-640M,Communication,34753050b1e24a27abe7a9696ffc2f5c
Notebook,8,Win10,4,3,Low-Midrange Graphics Cards,14,i7-6700HQ,Gamer,dfec51f39ea94d47929ea3a25406d927
Notebook,4,Win10,2,4,Low-Midrange Graphics Cards,22,G1820TE,Web User,f07c4d218c13404898621b187eb1d0a8
Notebook,24,Win8.1,4,6,Mid-Range Graphics Cards,22,i7-4700HQ,Casual Gamer,df63f13ddd45429abf2b451ce700d5b2
Notebook,16,Win10,4,2,Mid-Range Graphics Cards,14,i7-7820HQ,Office/Productivity,c9e0f94cd2074c3282d3951cc282a377
Desktop,8,Win10,2,3,Low-Midrange Graphics Cards,14,i3-6100,Web User,b4f8497e836449f593eaa2d0c3938c71
Notebook,16,Win10,4,1,Low-Midrange Graphics Cards,14,i7-8565U,Office/Productivity,c2624907de874f4b8e9c510fbee447ef
2 in 1,12,Win10,2,4,Low-Midrange Graphics Cards,14,i7-6500U,Communication,c0767d0f344949539c11e26d0a96cdb1
Intel NUC/STK,8,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7300U,Web User,e46fbc821af544f2aa70b6c3508e50ec
Notebook,4,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8265U,Communication,035c767aaea84186b03416dd46fce922
Notebook,8,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6200U,Office/Productivity,08fbb667d3284d3bbc849d65583431be
Notebook,8,Win10,2,6,Low-End Graphics Cards,32,i5-2450M,Gamer,d4049ec587af49f19c74fdbc0fda0a51
Notebook,16,Win10,2,3,,14,i7-6600U,Communication,e9fb937180814d74b9be4dbf9380baa4
Desktop,24,Win10,4,6,High-End Graphics Cards,22,i5-4670,Web User,e1b73cb71a2149cbba35012febd7c051
Desktop,32,Win10,4,5,High-End Graphics Cards,22,i7-4790K,Web User,f4e3b4e96e544e3db1f56e4032a2cb70
Notebook,4,Win10,2,6,Low-End Graphics Cards,22,i5-4200M,Casual User,0988d8056fb14cc9bc03f0e5a876d199
Desktop,4,Win10,2,5,Office-Class Graphics Cards,22,i3-4005U,Web User,09c429c2e9484b4a93cbf4b3f47fc4d5
Desktop,16,Win10,2,3,Low-Midrange Graphics Cards,14,i3-6100,Office/Productivity,d6b9295747b746889d6b3f92d547f73e
Notebook,8,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7200U,Communication,0a440f7679944729afa6ad98529a1766
2 in 1,16,Win10,2,4,Low-End Graphics Cards,14,i7-5600U,Communication,b27776a03ee0441f9340b964e18f52b5
Desktop,32,Win10,4,-1,High-End Graphics Cards,-1,Unknown,Web User,d01ae74e50964d79bf0860c84f6edf7f
Desktop,16,Win10,4,3,Low-Midrange Graphics Cards,14,i7-6700T,Web User,f19f3f37f48345069258d479f9839000
Notebook,16,Win10,2,4,Low-End Graphics Cards,14,i7-5600U,Content Creator/IT,047e4306da5d43ef99fe840b2d5d38f4
Desktop,8,Win10,4,3,Low-Midrange Graphics Cards,14,i7-6700,Web User,05973ae19f2e4f53a01c8523de2cabd6
Desktop,8,Win10,4,4,High-End Graphics Cards,22,i5-4460,Casual Gamer,05a19c27fae447a49854405b28a484be
Desktop,8,Win10,4,3,Low-Midrange Graphics Cards,14,i5-6400T,Office/Productivity,f2e131e21d5940369237eafadcf76168
Notebook,4,Win10,4,3,High-End Graphics Cards,14,i5-6300HQ,Win Store App User,e6acad72634343e88211353cfe94ad4a
Desktop,10,Win10,4,5,Low-End Graphics Cards,22,i5-4690,Web User,f290f8cb962646058c00b61ea708066a
Notebook,16,Win10,4,6,Low-End Graphics Cards,22,i7-3632QM,Office/Productivity,f65739b846e54ed4a01a45709b0ce6ad
Desktop,4,Win10,2,6,Office-Class Graphics Cards,32,i3-2120,Web User,0cfa0dd3edf740539d3215ea80160dd3
Notebook,8,Win10,2,2,Low-Midrange Graphics Cards,14,i3-7100U,Casual Gamer,0471191850d64144b2b6a83079ed2f87
Notebook,8,Win10,4,0,Low-Midrange Graphics Cards,14,i5-8365U,File & Network Sharer,08a0e330de414a1191991c26ad5793ca
Notebook,8,Win10,2,6,Low-End Graphics Cards,32,i5-2540M,Web User,04a3945c6bd24495b27fa897493a87fd
2 in 1,8,Win10,2,6,Office-Class Graphics Cards,22,i7-4500U,Web User,fc9ebedfabf34bc381e94d0d719b1787
Notebook,16,Win10,6,1,Low-Midrange Graphics Cards,14,i7-8750H,Content Creator/IT,03e664571382495a84a24942adf30dae
Desktop,16,Win10,6,1,High-End Graphics Cards,14,i7-8700K,Casual Gamer,07bd788d7398478f937f522e7a43d32b
Notebook,8,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6200U,Web User,066a77d778ac4c99ab919199f814c1ff
Desktop,64,Win10,4,-1,,-1,Unknown,Entertainment,0a4c278c65224d2f8eb851a1c860d164
Desktop,16,Win10,4,6,Mid-Range Graphics Cards,22,i7-4770,Web User,07be85b92a19465aab29261489d18c6b
Notebook,16,Win10,2,2,Low-Midrange Graphics Cards,14,i7-7600U,Communication,099310fa5c8445b9bde583cff133c7c7
Notebook,8,Win10,2,5,Low-Midrange Graphics Cards,22,i5-4210M,Entertainment,03d9ef34fa774bc0bb884f6532c5cfe1
Notebook,8,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7200U,Communication,0afc6a9fd5064f78893063f48e7e21b8
Notebook,16,Win10,4,4,Low-End Graphics Cards,22,i7-4720HQ,Casual Gamer,04dd96abcab04430be6e9bfc5dda0c4e
Notebook,16,Win10,4,1,Mid-Range Graphics Cards,14,i5-8300H,Casual User,084b32f49d3a439b94a68fe7f2338461
2 in 1,16,Win10,4,1,Low-Midrange Graphics Cards,14,i7-8650U,Web User,ff3815007e55499d841b33dc3e0513e0
Notebook,16,Win10,4,2,Office-Class Graphics Cards,14,i7-7700HQ,Casual User,05dcbe8864f244a6820d2998617eae93
Desktop,16,Win10,6,5,High-End Graphics Cards,22,i7-5930K,Web User,fef5534dd252403c912db636b46d7fd2
Desktop,8,Win10,4,5,Low-End Graphics Cards,22,i7-4790,Communication,05baf9cdf5294c749139751d782aedf2
Desktop,4,Win10,4,1,Low-Midrange Graphics Cards,14,i3-8100,Casual User,05c37b25abaf466dbf8f0fcde62fc6fd
Desktop,16,Win10,4,5,High-End Graphics Cards,22,i7-4790K,Casual Gamer,f92eed5dfb974cce9aa5fa023da8f4b0
Notebook,8,Win10,2,5,Mid-Range Graphics Cards,22,i5-4210M,Communication,091323552790425f90670b57c8845031
Intel NUC/STK,32,Win10,4,1,Office-Class Graphics Cards,14,i7-8705G,Gamer,0407992b19cb4a7986503b8ec90fee58
2 in 1,16,Win10,4,1,Low-Midrange Graphics Cards,14,i7-8550U,Web User,052cba7359584d19b32b2f95a61447e9
Desktop,8,Win10,4,6,High-End Graphics Cards,22,i5-4570,Casual Gamer,0512ba4f8c4349b8bb86ae5b9443047f
Notebook,4,Win10,2,4,Low-Midrange Graphics Cards,22,N2840,Entertainment,0431c676a3e24a7aa5e5cf8cb17ce6ab
Notebook,4,Win10,2,5,Low-Midrange Graphics Cards,22,i5-4210U,Web User,057d360b2893447787edc95af1116b8d
Desktop,12,Win10,4,6,High-End Graphics Cards,90,i5-760,Web User,3f224c6357b94412b9a4f7147fb9648c
Desktop,4,Win10,2,4,Low-Midrange Graphics Cards,22,G1840T,Casual User,7d48d4419e0d49768bcf2f23290ac654
Notebook,8,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6200U,Office/Productivity,315a6edf96f047029956e069319fc907
2 in 1,8,Win10,2,4,Low-End Graphics Cards,14,i5-5200U,Office/Productivity,40f78daea8de4ec7be424453fbd30160
Desktop,16,Win10,4,2,Low-End Graphics Cards,14,i7-7700K,Content Creator/IT,bb7ec0b4b8b5493faae28a988c1aa99a
Notebook,12,Win10,6,1,Low-Midrange Graphics Cards,14,i7-8750H,Web User,932339407cd94ec2aca5b9dabe543031
Desktop,8,Win10,2,4,Low-Midrange Graphics Cards,14,i5-5250U,Office/Productivity,a41c351dae47410c8eaddbfe4b58fe41
Notebook,8,Win10,2,6,Mid-Range Graphics Cards,22,i5-4200U,Casual User,92b836a05d8146d7af86b63dab32285a
Notebook,8,Win10,2,6,,22,i7-4500U,Communication,5a1bf7c0fc71429fa9d1cff2016686bd
Notebook,16,Win10,2,5,Office-Class Graphics Cards,22,i5-4310U,Web User,1b1cd1919ea2476d90bcce51c8526876
Notebook,16,Win10,4,5,Low-End Graphics Cards,22,i7-4710HQ,Web User,04f5a9638a49439890a42e0c8e8cab45
Notebook,16,Win10,4,3,High-End Graphics Cards,14,i7-6700HQ,Web User,0416ca92fbab4cd2971dbf30aa47c1a9
2 in 1,12,Win10,2,4,Low-End Graphics Cards,14,i7-5500U,Communication,6d72edc370f9491dab33807c6aa1c239
Notebook,4,Win10,2,2,Low-Midrange Graphics Cards,14,i3-6006U,Casual Gamer,590efa48fb79444a96b81441821f6a11
Intel NUC/STK,16,Win10,4,2,Office-Class Graphics Cards,14,i7-8705G,Gamer,40876c0202e44559b428a24b7cfd974c
Notebook,6,Win10,2,6,Low-End Graphics Cards,22,i3-3217U,Web User,06297a6d72534206add7581bd5b86f3d
Notebook,8,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8250U,Content Creator/IT,07bceacd39a44bd9b813c1f219b4b12c
Desktop,4,Win10,2,2,,14,i3-7100,Office/Productivity,072136af70474726aa36262e3be5c612
Notebook,8,Win10,4,6,Mid-Range Graphics Cards,22,i7-3635QM,Casual User,9269cb85d35a49aca20f2906454db221
Notebook,8,Win10,4,1,,14,i5-8250U,Casual User,f80d9ccc1d6c4f63bb18ab8de251c0fd
Desktop,8,Win10,2,2,Low-Midrange Graphics Cards,14,i3-7100U,Web User,e1b780c5c92c45998d46c515a9b070be
Notebook,8,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6200U,Content Creator/IT,f0f674d1f85f4fd4a3cacd809deb0b5f
Desktop,16,Win10,6,2,,14,i5-8600K,Web User,05383954882d45ac97d09717ca659a90
Notebook,8,Win10,2,6,Low-End Graphics Cards,22,i7-3517U,Casual Gamer,04bfb0e48f614e06bac2ae14893ff71d
Desktop,4,Win10,2,6,Office-Class Graphics Cards,45,E7500,Win Store App User,0567fd7e2d7e479992c9157030cdedfd
Desktop,4,Win10,2,4,Low-End Graphics Cards,22,i3-4170T,Web User,03bbc3723d6340539b0a5f8da5e5b138
Notebook,4,Win10,4,3,Low-Midrange Graphics Cards,14,N3710,Web User,0b4613b3f59c4929a8491e8522885fb1
2 in 1,16,Win10,4,1,Low-Midrange Graphics Cards,14,i7-8565U,Casual User,052d92136762461b97397306eee81187
Notebook,16,Win10,4,1,Low-Midrange Graphics Cards,14,i7-8565U,Web User,0c26f39270534e8a8529fc409cde119d
Notebook,8,Win10,4,1,Mid-Range Graphics Cards,14,i5-8250U,Web User,05bbe7891f7f46c580a20d1e77adce43
Desktop,16,Win10,8,6,High-End Graphics Cards,32,E5-2670,Communication,05eff5910fcb4791a68ec124e24d53e6
Notebook,16,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6300U,Web User,04354921d9214649a4250cec43f939a6
Desktop,4,Win10,2,2,Office-Class Graphics Cards,14,i3-7100,Office/Productivity,0597b0d60342408299bdbc3ef3903328
Notebook,12,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8250U,Web User,08eb3b0d73d84d60a20d6442e34f4471
Notebook,8,Win10,4,1,,14,i5-8350U,Communication,044420c6de774e5aa8e8d34c775251a6
Notebook,16,Win10,4,1,,14,i7-8565U,Communication,074f838eb78d46b0a486e16bfd0e1cab
Notebook,4,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7200U,Web User,09196c19f9e646f6a70627ed56769f49
Desktop,8,Win10,2,2,Office-Class Graphics Cards,14,i3-7100,Casual Gamer,070162a8eb784b1795a387496d618238
2 in 1,8,Win10,2,3,Low-End Graphics Cards,14,m7-6Y75,Entertainment,2b644d058ae141578ef5125b48586701
Notebook,8,Win10,2,6,Mid-Range Graphics Cards,22,i5-4200M,Content Creator/IT,a2d9b029d13c453883a1ef758c6c47f0
Desktop,16,Win10,2,4,Low-Midrange Graphics Cards,14,i5-6260U,Communication,af9d67aaee2e4453a7e8fea0ac682b76
Notebook,8,Win10,4,6,Low-End Graphics Cards,32,i7-2670QM,Web User,8f2a18127e8b47c4940413196b137907
Notebook,4,Win10,2,5,Office-Class Graphics Cards,22,i3-4030U,Casual Gamer,49f334887e594e3db07387331dc7123d
Desktop,16,Win10,4,6,Low-End Graphics Cards,22,i7-4770T,File & Network Sharer,6d0251da42994399a1ca16de1b0c8d89
Desktop,8,Win10,4,6,Low-End Graphics Cards,22,i5-4430,Web User,8e4a90fe4da5412ea00ecbd1ec562c5e
Notebook,16,Win10,4,4,Low-End Graphics Cards,22,i7-4720HQ,Casual User,2f0ae8d2c6924f768279080d41ac602c
Notebook,8,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6300U,Gamer,42349510bb094dac93a21b13254be040
2 in 1,8,Win10,2,4,Low-Midrange Graphics Cards,14,i7-6500U,Web User,db2df586471240d58fb59be7e6c06755
Notebook,12,Win10,4,2,Low-Midrange Graphics Cards,14,i7-8550U,Entertainment,7a9f09d39b11499f8503dc3b1a7d7f3d
Desktop,16,Win10,4,6,Low-Midrange Graphics Cards,32,i5-2500,Web User,e23566975ec841c4a21d61c9f284198b
Desktop,64,Win10,6,5,High-End Graphics Cards,22,i7-5930K,Content Creator/IT,050c18332e114459bb4a20175e284afb
Notebook,16,Win10,2,4,,14,i7-6650U,Communication,0192e012e075427d915a61d18982cf4e
Notebook,16,Win10,4,3,Mid-Range Graphics Cards,14,i7-6820HQ,Communication,08c163ff0c9c48ffaef34b8656dce64b
Notebook,4,Win10,2,5,Low-End Graphics Cards,22,i5-4310M,Web User,03842a55851a42d1b739c9d53566dddc
Desktop,8,Win10,4,6,High-End Graphics Cards,22,i5-3330,Gamer,04c634f0052c4973a17ce0b7d36dd7f9
Desktop,16,Win10,6,0,,14,i5-9400F,Casual Gamer,047734acfc8442c1a188bccb23e3f1f1
Desktop,4,Win10,2,6,,45,E8400,Web User,05bfe9d16d6b4ad485fc6b2dd2087fa5
Notebook,8,Win10,4,0,,10,i5-1035G1,Casual Gamer,080d38dfca8b465f9b4fd8b0702496a6
Desktop,8,Win10,4,6,Low-End Graphics Cards,22,i7-4770,Office/Productivity,55467ce3beaf4991be02be1db3fcea50
Notebook,8,Win10,2,6,Low-Midrange Graphics Cards,22,i5-3210M,Gamer,1b98e478135b4193b337c1b0c5ec0f24
Intel NUC/STK,16,Win10,4,1,Office-Class Graphics Cards,14,i7-8705G,Web User,cb7190f8a9d7409287586484ff88c390
Desktop,16,Win10,4,5,High-End Graphics Cards,22,i7-4790,Communication,3285f9b8a602472ea90525e54597d1e6
Notebook,8,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8250U,Web User,546d9931d9404898a8bdd80cbf3752e6
Notebook,8,Win10,2,4,Low-End Graphics Cards,14,i7-5500U,Web User,4d49fb39b24b41259fa6d6b5bf5faee6
Desktop,32,Win10,4,2,High-End Graphics Cards,14,i5-7500,Casual Gamer,2555eafea4da4bf2acf10abfce7dafee
Notebook,16,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7200U,Casual Gamer,d450aa5b007b4420b3f64862e6570684
Notebook,8,Win10,2,4,Low-End Graphics Cards,14,i7-5500U,Gamer,097961bc238c432f9b9efb276e951685
Notebook,8,Win10,2,4,Low-End Graphics Cards,14,i3-5005U,Office/Productivity,5094e3a7a6aa467fbbae71f65c0afdb2
Notebook,8,Win10,4,1,Low-Midrange Graphics Cards,14,i7-8565U,Web User,3c8325d4041147989551e267b4488d56
Desktop,8,Win10,4,3,,14,J3710,Web User,0e9a0d91d9dc40b6940170344719ceec
Notebook,8,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6200U,Casual Gamer,6fcb0c2986a249719b4702582f8604bc
Notebook,6,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6200U,Web User,b24d9c8d595e48e79b7c7e2f22caa9bc
2 in 1,8,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7200U,Casual Gamer,a6268595aa3c4e639addc1742441c785
Desktop,12,Win10,4,6,Low-End Graphics Cards,45,i7-860,Win Store App User,3cf952cd68f4468aa13391a55de8373d
Desktop,8,Win10,2,6,Low-End Graphics Cards,22,i3-3217U,Communication,d619dfae92ef4b1da01580b853dbb161
Notebook,16,Win10,4,1,,14,i7-8550U,Casual Gamer,2de44fbebc29418ba97674576c61d699
2 in 1,16,Win10,2,2,Low-Midrange Graphics Cards,14,i7-7600U,Office/Productivity,a1856591d17b4faa9d9d72bbba6ca78b
Desktop,8,Win10,4,2,High-End Graphics Cards,14,i5-7600K,Casual Gamer,883c99f2f0e9496abaf61b473d208a06
Desktop,16,Win10,4,3,,14,i7-6700K,Web User,bc26151fc1734b1a8023c835e5a1a525
Notebook,16,Win10,4,3,High-End Graphics Cards,14,i7-6700HQ,Web User,640e18ab222c4090a7d649923d2f8cac
Desktop,4,Win10,2,6,Low-Midrange Graphics Cards,32,i3-2100,Content Creator/IT,3c83828555504726b0449b70e72eb2ff
Desktop,32,Win10,4,4,Low-End Graphics Cards,22,i5-4460,Gamer,e3fa7a1947ef4c78be585af1350d4b31
Desktop,16,Win10,2,4,Low-Midrange Graphics Cards,14,i7-5557U,File & Network Sharer,779b1493ef054f619960c0a5e2c942e9
Notebook,4,Win10,2,6,Office-Class Graphics Cards,22,i5-4200U,Gamer,abe92073564f49b3bed14d65826adabd
Desktop,40,Win10,6,0,High-End Graphics Cards,14,i5-8400,Casual User,359fb16b8fac4bf6be444594f5a1446c
Desktop,16,Win10,8,1,,14,i9-9900K,Casual Gamer,f4beedd99d694e0eaf1483ace72804ac
Intel NUC/STK,8,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7300U,Communication,04c85a7e9ee44d28b708da7213de03be
2 in 1,16,Win10,2,3,Low-Midrange Graphics Cards,14,i7-6600U,Web User,844dd8178dc1489da30a77634b9d527a
Desktop,8,Win10,4,3,Low-Midrange Graphics Cards,14,i7-6700,Web User,a158b955a2484b8b944af29b0cea18db
Notebook,8,Win10,2,4,Low-Midrange Graphics Cards,14,i7-6500U,Content Creator/IT,bccfc43e0cfa4955bd81e0ea112cccf3
Other,8,Win10,4,5,,22,i7-4710HQ,Web User,9201a4db160f4fbba37e8a9f09725677
Desktop,16,Win10,4,5,Low-End Graphics Cards,22,i7-4790,Office/Productivity,c74a84141f5440c8aef469bce17e3396
Notebook,8,Win10,4,1,Low-Midrange Graphics Cards,14,i7-8565U,Casual User,bc0d6478e16f409b82c72bc7dc9496e0
Desktop,16,Win10,6,1,High-End Graphics Cards,14,i7-8700,Casual Gamer,b9c34231ce734e7f87252ca107ee2797
Desktop,16,Win10,4,5,Low-End Graphics Cards,22,i7-4790K,Casual User,dc2d4c04ab4547ffbaac32e13611b5f1
Notebook,8,Win10,2,3,Low-Midrange Graphics Cards,14,i3-6100U,Casual Gamer,ad73f94c0d9e4a4fab89df3d8a99d32b
Desktop,12,Win10,4,4,Low-End Graphics Cards,22,i5-4460,Web User,da7e13c499574f6987095d90b5a6fe39
Notebook,8,Win10,2,0,,10,i3-1005G1,Casual Gamer,b9db539c208040ef9b5ab09e5aa0be87
Notebook,16,Win10,4,2,Mid-Range Graphics Cards,14,i7-7700HQ,Casual User,ef2ebdc813854f419f44d778f546f330
Desktop,12,Win10,4,6,Mid-Range Graphics Cards,32,i7-2600K,Web User,f76cb9e8d7734907a2647ec5dcf0106e
Notebook,8,Win10,2,3,Low-Midrange Graphics Cards,14,i3-6100U,Communication,f65d06cfef254a51b9fc2a0a50b20c29
Notebook,8,Win10,2,6,Low-Midrange Graphics Cards,22,i5-4258U,Web User,d29fcb92ccbc498eb46d0b5cdfc67acd
Desktop,16,Win10,4,2,High-End Graphics Cards,14,i5-7600K,Web User,d6401faf95be496db2bd895f9affb02b
Desktop,16,Win10,4,6,Low-Midrange Graphics Cards,32,i7-2600,Communication,fafa474d94fc4f6c837e05b87e5cb4fa
Desktop,32,Win10,4,5,Low-End Graphics Cards,22,i7-4790K,Web User,f55c1e23a2e843349ea5eccec6a58e1a
Notebook,16,Win10,6,1,Low-Midrange Graphics Cards,14,i7-8750H,File & Network Sharer,e6447be433814a819fd8bf789aa4f00a
Desktop,2,Win10,2,6,Office-Class Graphics Cards,45,E5300,Web User,059034458c1a4b208c482e93386e0276
Notebook,16,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6200U,File & Network Sharer,05f1dbe18a1c41a997a60907679fe8c1
2 in 1,8,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7300U,Communication,0425174991b34351bd731f256b14deb0
Notebook,8,Win10,4,6,Mid-Range Graphics Cards,22,i7-3630QM,Web User,04484ec737914416b3232161264db055
Desktop,16,Win10,4,6,Low-End Graphics Cards,22,i7-3770,Win Store App User,0783aa1569e44baba1f1da41d227952b
Notebook,32,Win10,6,0,,14,E-2276M,Casual User,0375446ae8784ca39fb4de54ef148642
Desktop,12,Win10,2,6,Low-Midrange Graphics Cards,32,G630,Web User,05e985dff3bc413d844588a686602de6
Notebook,8,Win10,2,6,Low-End Graphics Cards,32,i5-2450M,Content Creator/IT,0464cabd33cd45d8a498b4929ab2f296
Desktop,8,Win10,2,4,Low-Midrange Graphics Cards,14,i5-6260U,Casual User,031a4e734fa4499da9235abe8ddceb46
Desktop,4,Win10,2,4,Low-Midrange Graphics Cards,14,3805U,Communication,04ce2831c7b541f48f243eedfac78b2c
Desktop,8,Win10,4,5,Low-End Graphics Cards,22,i5-4590T,Communication,092dde056f8745f980e561a7c0bdfae0
Notebook,4,Win10,2,6,Office-Class Graphics Cards,22,i3-4010U,Content Creator/IT,05214970c73a44aa979beb941a4249c0
2 in 1,16,Win10,4,0,Mid-Range Graphics Cards,14,i7-8565U,Communication,060469ed9fa743bda64df111d3b0cf7b
Notebook,8,Win10,4,2,Office-Class Graphics Cards,14,i7-7700HQ,Win Store App User,06dd36d680e14c04999320b01ef16de7
