chassistype,ram,os,#ofcores,age_category,graphicscardclass,processornumber,cpucode,persona,guid
Notebook,8,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7200U,Communication,064b97444bf24abe976459c4f1245516
Desktop,8,Win10,6,1,Low-Midrange Graphics Cards,14,i5-8400T,Office/Productivity,053b41f858fe4a5d8b42426cf1fdba66
Desktop,8,Win10,2,4,Low-End Graphics Cards,14,i3-5010U,Web User,0527f91104b846afa1b57a1f05ee1042
2 in 1,8,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8250U,Office/Productivity,06d48fe865f14a21a3afce98473b94aa
Desktop,16,Win10,4,3,Low-Midrange Graphics Cards,14,i5-6500,File & Network Sharer,fe6613818510457fb8bbaa229acbf2a4
Notebook,8,Win10,4,6,Low-End Graphics Cards,22,i7-4700HQ,Gamer,cb5ce974fab34a9ca1c34864a8e00ac3
Notebook,4,Win10,2,4,Low-Midrange Graphics Cards,22,N2840,Casual User,d15838da66ad4d8e8b0133c6917fced7
Notebook,8,Win10,2,6,Low-End Graphics Cards,22,i5-3210M,Web User,da2b3fedb9fc482ba8813e38c17b7e7e
Desktop,16,Win10,4,2,,14,i5-7600K,Gamer,e73c3a35f02649149bc24bb40f2a10b2
Desktop,32,Win10,6,2,High-End Graphics Cards,14,i7-8700K,Casual Gamer,c12b282f6e3243bfb203195d38048211
Notebook,8,Win10,2,6,Low-End Graphics Cards,32,i7-2640M,Casual User,eba05ad83740455aaa04977b610008b9
Notebook,8,Win10,2,2,Low-Midrange Graphics Cards,14,i7-7500U,Office/Productivity,fb32b796280049769bfa89e6f54b1871
Desktop,16,Win10,2,4,Low-Midrange Graphics Cards,14,i7-5557U,Web User,dd38d7367d9c466aaf7fda76cfa77f46
Desktop,16,Win10,6,1,,14,i7-8700K,Web User,f6a854555f1c41548dc5f791e0d97787
Notebook,16,Win10,4,2,Office-Class Graphics Cards,14,i7-7700HQ,Content Creator/IT,f96f7a87fd9d44278e6f9194bfe3fd31
Notebook,6,Win10,2,4,Low-Midrange Graphics Cards,14,i5-5200U,Casual User,0b38b9b95ef74e388ac40f3424252320
Desktop,32,Win10,2,4,Low-Midrange Graphics Cards,14,i5-6260U,Web User,0460fe0276ab498884ae18bf89ff54ab
Desktop,16,Win10,6,0,High-End Graphics Cards,14,i5-10400F,Web User,077214aae975454782c9f13f5c205195
Desktop,4,Win10,2,-1,Low-Midrange Graphics Cards,32,G620,Casual User,04a7dd4e87324f35bcfbd9fed7734e2b
