batch_id,guid,wait_msecs,before_cpuutil_max,before_harddpf_max,before_diskutil_max,target,chassistype,ram,os,#ofcores,age_category,graphicscardclass,processornumber,cpucode,persona
20200904-200234,ccdd1e099f7041748b15476293925a53,1900,65.623421427512,9.202914836413353,11.039023277442762,1,Notebook,12,Win10,2,4,Low-Midrange Graphics Cards,14,i7-5500U,Communication
20200910-200229,05fbd8a0257a444480bdd1cab3fbeace,1501,34.37503543748091,8.455615096225495,11.28299617371568,1,Desktop,6,Win10,4,6,Office-Class Graphics Cards,45,Q9400,Web User
20200824-200228,8cbca04983a743ab82f0fb85e6e77e95,1400,34.7744679731216,9.371146510327822,17.36010611564927,1,Desktop,4,Win10,2,4,Low-End Graphics Cards,14,i5-5200U,Web User
20201128-190230,a387cbb2b3904f7d874a0ac827d1a5c4,1600,8.29327458583631,9.406713887150191,14.886325492273096,1,Desktop,16,Win10,4,3,Mid-Range Graphics Cards,14,i7-6700K,Office/Productivity
20201106-190230,0473cc730cb644c7ae78099045f56a53,1500,27.4733603048734,10.706607376657129,16.512659218806625,1,Notebook,16,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8250U,Casual User
20200907-200232,bf4cd30ec17b427893a0f8097e2e2df3,1304,9.62730154774899,8.886262852161192,14.112089080795888,1,Notebook,16,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8250U,Web User
20201208-190229,08f30b5806e04565ae79c74bb6e94fc8,5300,37.351373084923,8.845831465063094,13.091802709687014,2,Notebook,8,Win10,2,0,Low-Midrange Graphics Cards,14,i3-7020U,Office/Productivity
20200907-200232,cf51c30a495c40f9a311fba0bf3d81f3,5700,63.12655163470721,10.022220989953393,11.343027942944115,3,Desktop,8,Win10,4,1,Mid-Range Graphics Cards,14,i5-7400,Casual User
20200821-200227,0af48f43cd6743f6861741f554c8e632,1100,44.2210536704834,11.151520584569639,16.42557352277705,1,Desktop,16,Win10,4,6,Mid-Range Graphics Cards,32,i7-2600,Gamer
20200224-200515,0588fcb7321e4d9790b6b0c8c584660c,7403,41.15774646723421,11.042322443995403,17.366887512526883,3,Notebook,8,Win10,6,1,,14,i7-8850H,Web User
20200426-210227,0b8bdd2e33574380a05d03f9301a1e09,1900,51.253384964948,9.770393996338537,14.981875630780245,1,Notebook,20,Win10,4,6,Low-Midrange Graphics Cards,32,i7-2820QM,Content Creator/IT
20200829-200229,a56fb04c6ae94eec8c8b32b689396a43,1899,85.5486827036884,9.433782681082695,12.6821695252953,1,Intel NUC/STK,4,Win10,2,2,Low-Midrange Graphics Cards,14,i3-7100U,Win Store App User
20200417-210228,e3c578783bb1499890ec5ce356a684ab,5299,25.0018329552026,9.899207499321044,12.348882043594271,2,Notebook,16,Win10,2,3,Low-Midrange Graphics Cards,14,i7-6600U,Casual User
20200922-200231,04350b531ba44b0b87c8d3ed5148b285,3593,32.235851109529904,10.278081779291226,23.24839051033368,2,Notebook,16,Win10,4,3,Low-Midrange Graphics Cards,14,i7-6700HQ,Content Creator/IT
20200430-200227,9d7f67ae0ccc4e778037f16bba97d6e0,2691,12.226699689163802,8.776008760267136,13.604144440906996,1,Desktop,32,Win10,4,3,Mid-Range Graphics Cards,14,i7-6770HQ,Web User
20201116-190235,c72a6ec2a3b6496384b903196c33deb6,6399,38.1924139814947,8.998799840906123,12.48906943008031,3,Notebook,8,Win10,2,2,Low-Midrange Graphics Cards,14,i3-6006U,Casual User
20201028-200228,290ebeead6f54aebb00843c7ac47d88b,1200,54.9242170391983,9.180742490748344,15.05656200246986,1,Notebook,8,Win10,4,6,Low-End Graphics Cards,32,i7-2630QM,Web User
20200421-210223,e0f78a61a03743edb4982651b5ed7660,1598,26.40689909115,8.141066010528892,12.229781912173841,1,Desktop,16,Win10,2,4,Low-Midrange Graphics Cards,14,i3-6300T,Win Store App User
20200304-200229,0738ed0bf8794554b777c84184ad84e1,1300,36.011644644529795,10.751772195372764,14.763230595342266,1,Notebook,16,Win10,4,2,,14,i7-7700HQ,Web User
20200318-210228,bedcc50f57944e66803e442439e908aa,3501,21.2744346196158,9.668377326697433,14.485355938033806,2,Desktop,12,Win10,4,3,Low-Midrange Graphics Cards,14,i5-6400T,Casual User
20200609-200229,edd9d9ab187145ecb00f96da97fd43f3,1526,24.507365765162,9.562420618231707,14.491074901434018,1,Desktop,6,Win10,2,6,Low-End Graphics Cards,22,i3-4130,Office/Productivity
20200210-200229,6fff438e6bb74a57b30d85046406a1d4,1900,59.260532858505705,10.93582323449994,17.24586398148542,1,Intel NUC/STK,32,Win10,4,1,Office-Class Graphics Cards,14,i7-8809G,Communication
20200131-200229,1f0124d2f9d54bbd8bb5c205c5254f93,2100,7.93826078915532,8.876069111669555,15.280053084425672,1,Desktop,16,Win10,4,5,High-End Graphics Cards,22,i7-4790,Web User
20200304-200229,0e66405bb60e4dc4b553785e384fba62,8300,7.1207999991841,9.526384283441077,14.584438454055784,4,Desktop,16,Win10,8,1,,14,i7-9700K,Casual Gamer
20201207-190328,07528a6968b049d284de6c820386380f,1611,31.693571045339894,7.909870694323858,13.08531916560518,1,2 in 1,8,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8250U,Web User
20200202-200508,fd3b7edb2786491287fc61076a1965bb,2600,19.25656855115569,9.22527367257436,12.17428174223117,1,Notebook,12,Win10,4,3,High-End Graphics Cards,14,i7-6700HQ,Casual User
20200315-210228,8fa4357455764c8e82782b64aaf56922,1101,34.4493148831673,9.564851952367437,15.083616682873119,1,Desktop,16,Win10,2,4,Mid-Range Graphics Cards,22,i3-4170,Casual User
20200828-200232,eb53285f3039431a8f3372e6123896a8,1188,19.873020385653085,8.998578541846348,12.323833242874207,1,Desktop,8,Win10,4,6,Not Suited for Games,22,i5-3570,Web User
20201231-190229,cbb945097b664f6c8ec4bb14626271d3,2996,37.89889349337949,9.039120861914508,15.514367120045508,1,Notebook,4,Win10,2,5,Office-Class Graphics Cards,22,i3-4005U,Casual User
20200804-200228,2dc72ada1c954f5990f02eae5d46c22e,1298,7.756055016828839,9.441849626935348,13.904761777138939,1,Desktop,12,Win10,4,3,Low-Midrange Graphics Cards,14,i7-6700T,Win Store App User
20200504-200213,090a954880f04739aac5032b8ba5a3b3,2002,99.9218710450617,9.131812042521956,13.579895307546066,1,2 in 1,16,Win10,2,2,Office-Class Graphics Cards,14,i7-7Y75,Office/Productivity
20200717-200230,dada63bef874465683299ec44486c14a,1197,86.64269344390878,10.046409515100114,14.27567398792823,1,2 in 1,16,Win10,2,4,Low-Midrange Graphics Cards,14,i7-6500U,Content Creator/IT
20200608-200228,5356e0d94f564a9a8544b10a31371b93,5596,46.03891582548351,8.968078551354225,12.406698578343361,3,Desktop,32,Win10,4,6,High-End Graphics Cards,22,i7-4820K,Communication
20200408-210233,07e47dfaf5f449d1bf87018141dd218f,1200,78.36205650843971,9.941440475688687,14.451910559774065,1,Notebook,8,Win10,2,4,Low-End Graphics Cards,14,i5-5300U,Communication
20200428-091659,6558c45e119b4625b67f453b22c3e180,1501,92.81179943797319,10.313442201078896,18.52621237077993,1,Notebook,8,Win10,2,2,Low-Midrange Graphics Cards,14,i3-7100U,Gamer
20200216-200527,cd3d92d6e61d478d929c1430880f2882,1300,61.749593437456205,9.303492156322767,15.594384571387788,1,Notebook,4,Win10,4,4,Low-Midrange Graphics Cards,22,N3540,Gamer
20200418-210229,903937067c9c4b6e8edd7c7eb7903113,2999,5.19069099427906,8.055333929096205,16.5933520587915,1,Notebook,12,Win10,2,-1,Low-End Graphics Cards,-1,Unknown,Web User
